product_name,merchant_image_url,search_price
Apple USB-C to USB Adapter - Adaptateur USB - USB type A (F) pour 24 pin USB-C (M),https://static.fnac-static.com/multimedia/Images/FR/NR/be/2b/6c/7089086/1505-1/tsp20150423160949/Apple-Adaptateur-USB-C-vers-USB.jpg,25.99
"Apple iPad Mini 8,3'' 256 Go Mauve Wifi 7ème génération 2024",https://static.fnac-static.com/multimedia/Images/FR/MDM/67/92/6b/23827047/1505-1/tsp20260519120557/Apple-iPad-Mini-8-3-256-Go-Mauve-Wifi-7eme-generation-2024.jpg,689.99
Clavier sans fil Azerty Apple Magic Keyboard avec Touch ID et pavé numérique Noir,https://static.fnac-static.com/multimedia/Images/FR/MDM/ed/09/a4/27527661/1505-1/tsp20260429144151/Clavier-sans-fil-Azerty-Apple-Magic-Keyboard-avec-Touch-ID-et-pave-numerique-Noir.jpg,229
Pavé numérique sans fil Apple Magic Trackpad Bluetooth Noir,https://static.fnac-static.com/multimedia/Images/FR/MDM/36/04/a4/27526198/1505-1/tsp20260429144151/Pave-numerique-sans-fil-Apple-Magic-Trackpad-Bluetooth-Noir.jpg,169
Souris sans fil Apple Magic Mouse Bluetooth Blanc,https://static.fnac-static.com/multimedia/Images/FR/MDM/34/04/a4/27526196/1505-1/tsp20260429144151/Souris-sans-fil-Apple-Magic-Mouse-Bluetooth-Blanc.jpg,85
Pavé numérique sans fil Apple Magic Trackpad Bluetooth Blanc,https://static.fnac-static.com/multimedia/Images/FR/MDM/29/04/a4/27526185/1505-1/tsp20260429144151/Pave-numerique-sans-fil-Apple-Magic-Trackpad-Bluetooth-Blanc.jpg,139
Clavier sans fil Azerty Apple Magic Keyboard Blanc,https://static.fnac-static.com/multimedia/Images/FR/MDM/ea/09/a4/27527658/1505-1/tsp20260429144151/Clavier-sans-fil-Azerty-Apple-Magic-Keyboard-Blanc.jpg,119
Stylet Apple Pencil USB-C,https://static.fnac-static.com/multimedia/Images/FR/MDM/27/52/55/22368807/1505-1/tsp20260520174532/Stylet-Apple-Pencil-USB-C.jpg,89.99
"Apple iPad Mini 8,3'' 256 Go Bleu Wifi 7ème génération 2024",https://static.fnac-static.com/multimedia/Images/FR/MDM/69/92/6b/23827049/1505-1/tsp20260519120557/Apple-iPad-Mini-8-3-256-Go-Bleu-Wifi-7eme-generation-2024.jpg,689.99
Souris sans fil Apple Magic Mouse Bluetooth Noir,https://static.fnac-static.com/multimedia/Images/FR/MDM/28/04/a4/27526184/1505-1/tsp20260429144151/Souris-sans-fil-Apple-Magic-Mouse-Bluetooth-Noir.jpg,119
