product,name,color,image,price,old_price,asin
iphone-17,iPhone 17,,,,,
iphone-17-pro,iPhone 17 Pro,,,,,
iphone-air,iPhone Air,,,,,
iphone-16e,iPhone 16e,,,,,
iphone-16,iPhone 16,,,,,
airpods-pro-3,AirPods Pro 3,,,,,
airpods-4,AirPods 4,,,,,
airpods-max,AirPods Max,,,,,
macbook-air-m4,MacBook Air M4,,,,,
macbook-pro-14,MacBook Pro 14,,,,,
mac-mini,Mac mini,,,,,
imac,iMac,,,,,
ipad,iPad,,,,,
ipad-air,iPad Air,,,,,
ipad-pro,iPad Pro,,,,,
ipad-mini,iPad mini,,,,,
watch-se,Apple Watch SE,,,,,
watch-series-11,Apple Watch Series 11,,,,,
watch-ultra-3,Apple Watch Ultra 3,,,,,
magsafe-battery,Batterie MagSafe,,,,,
